Q80135	1	8520	Dmitri_Shostakovich	138	0.3	2	[1;2;3;4;6;15;67]	[]	[1;2]	[1;2]	[1;2;3]
Q5383	1	8786	David_Bowie	57	0.3	1	[1;3;2;5;100;4;9;10;40;6;7;8;1000000;11;14;15;20;140000000;25;29]	[]	[]	[1]	[1;3;2]
Q83158	1	15837	Jean_Cocteau	100	0.3	2	[1;6]	[1]	[1]	[1;6]	[1;6]
Q7724	2	49645	August_Strindberg	124	0.21363636363636362	2	[1;2;3;6;7;4;5]	[]	[1]	[1;2]	[1;2]
Q1043	2	5233	Carl_Linnaeus	52	0.21363636363636362	2	[1;2;3;4;24;100;6;17]	[]	[1]	[1]	[1;2]
Q855	3	15641	Joseph_Stalin	127	0.16818181818181818	2	[1;2;7;1000000;4;4000000;3;5000000;10000000;5;15;16;20000000;1500000;8000000;6;8;10;12;33;350000;14000000;100;11000000;1700000;9000000;6000000]	[]	[]	[]	[1]
Q46096	2	76370	Felix_Mendelssohn	46	0.21363636363636362	2	[1;2;4;3;5;6;7;12;14;15;9;10;11;17;35;113]	[]	[]	[1]	[1;2;4]
Q317839	11	265950	Yongzheng_Emperor	151	0.013636363636363636	2	[2;1;14]	[]	[]	[]	[2;1;14]
Q9916	2	8182	Dwight_D._Eisenhower	36	0.21363636363636362	2	[1;2;3;5;4;70;7;8;15000;43;45]	[]	[1]	[1;2]	[1;2]
Q517	5	69880	Napoleon	28	0.05909090909090909	2	[2;1;13;18;24;1000;3000000;150000;500;3;5;6;26;40;300;3600000;40000;13000;2000;100;1500000;1400]	[]	[]	[2;1]	[2;1]
Q23559	6	19283178	Benito_Mussolini	154	0.03636363636363636	2	[1;2;3;200;5000;8;15;18;60000000;4000;500]	[]	[]	[1]	[1;2]
Q535	4	42146	Victor_Hugo	15	0.10909090909090909	2	[1;2;3;5;93]	[]	[1]	[1]	[1]
Q35064	1	984	Agatha_Christie	3	0.3	2	[1;2;3;4;5;6;85;25;30;103]	[]	[1]	[1]	[1;2;3]
Q207	2	3414021	George_W._Bush	150	0.21363636363636362	2	[1;2;3;4;7;266;12;60;6000000]	[]	[]	[1]	[1]
Q7488	4	1157685	Emperor_Qinzong	160	0.10909090909090909	2	[2]	[2]	[2]	[2]	[2]
Q23505	5	11955	George_H._W._Bush	133	0.05909090909090909	2	[1;2;4;3;6;1000;10;11;2000;794;41]	[]	[]	[1;2]	[1;2]
Q7546	8	14626	Ingmar_Bergman	113	0.02727272727272727	2	[1;2;3;9;5]	[]	[1]	[1;2]	[1;2;3]
Q7186	2	20408	Marie_Curie	117	0.21363636363636362	2	[2;1;3;4;66]	[]	[2]	[2;1]	[2;1]
Q7085	4	21210	Niels_Bohr	84	0.10909090909090909	2	[1;2;3;72]	[1]	[1]	[1;2]	[1;2;3;72]
Q34743	2	26308	Rudyard_Kipling	87	0.21363636363636362	2	[1;2;3;4;7;6;8;89;50]	[]	[1]	[1;2]	[1;2;3]
Q9582	4	5030380	Gerald_Ford	159	0.10909090909090909	2	[1;2;3;9;50;4;25]	[]	[1]	[1]	[1;2;3]
Q41309	3	67379	Franz_Liszt	16	0.16818181818181818	2	[1;2;3;6;4;9;12;4000;100;36;40;50]	[]	[]	[1;2]	[1;2;3]
Q2042	3	51255	Charles_de_Gaulle	60	0.16818181818181818	2	[1;2;3;5;700;4;6;22;24;800;44;67;100;150000]	[]	[1]	[1;2]	[1;2;3]
Q1124	1	3356	Bill_Clinton	92	0.3	2	[1;2;3;4;18]	[]	[]	[1;2]	[1;2]
